question,expected_answer,expected_source,should_answer,category,dataset_split,id
What AI systems are excluded from the scope of the EU AI Act?,"AI systems used for : military, defence or national security purposes , ai systems used for scientific research and development; ","Recital 24, recital 25, article 2",yes,exemption,"[""base""]",1
when does this regulation come into effect?,"his Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the 
European Union.
It shall apply from 2 August 2026.
However:
(a) Chapters I and II shall apply from 2 February 2025;
(b) Chapter III Section 4, Chapter V, Chapter VII and Chapter XII and Article 78 shall apply from 2 August 2025, with the 
exception of Article 101;
(c) Article 6(1) and the corresponding obligations in this Regulation shall apply from 2 August 2027.","recital 179, article 113",yes,multi-hop,"[""base""]",2
what is an AI system,"‘AI system’ means a machine-based system that is designed to operate with varying levels of autonomy and that may 
exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, 
how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or 
virtual environments;",article 3,yes,single,"[""base""]",3
what is the difference between placing on market and making available on market and putting into service?,"Placing on the market = First commercial launch in the EU (only once)
Making available on the market = Selling or distributing in the EU (can happen many times)
Putting into service = First actual use for its intended purpose (when deployment begins)",article 3,yes,single,"[""base""]",4
what article talks about AI literacy?,"Article 4: Providers and deployers of AI systems shall take measures to ensure, to their best extent, a sufficient level of AI literacy of 
their staff and other persons dealing with the operation and use of AI systems on their behalf, taking into account their 
technical knowledge, experience, education and training and the context the AI systems are to be used in, and considering 
the persons or groups of persons on whom the AI systems are to be used.",article 4,yes,single,"[""base""]",5
when is the AI system considered high risk?,"Biometrics, critical infrastructure, educational and vocational training, employment, law enforcement, essential public/private services , Migration, asylum and border control management, Administration of justice and democratic processes,","Article 6, annex 3",yes,multi-hop,"[""base""]",6
what are the requirements for a high risk system? How do we ensure compliance?,risk management system,"article 8, article 9",yes,multi-hop,"[""base""]",7
how must high-risk systems be tested?,,"article 9, article 60",yes,multi-hop,"[""base""]",8
how must examination of biases be carried out?,training and test data are subjected to governance. They can store personal data for testing but on conditions.,"article 10(2), 10(5)",yes,single,"[""base""]",9
how must high-risk systems be logged? A,automatic recording of events (logs) over the lifetime of the system.,article 12,yes,single,"[""base""]",10
"If we deploy AI for CV screening, what obligations apply?","it's a high risk system,  so testing, monitoring etc","annex 3, Article 9, article 10, article 11, article 12, article 13, article 14, article15, article 16",yes,multi-hop,"[""base""]",11
who is a deployer? How do we ensure transaperency for deployers?,"‘deployer’ means a natural or legal person, public authority, agency or other body using an AI system under its 
authority except where the AI system is used in the course of a personal non-professional activity. 
High-risk AI systems shall be designed and developed in such a way as to ensure that their operation is sufficiently 
transparent to enable deployers to interpret a system’s output and use it appropriately","article 3,  article 13",yes,multi-hop,"[""base""]",12
for how long must the documentation of high-risk system that's in the market be kept?,"The provider shall, for a period ending 10 years after the high-risk AI system has been placed on the market or put 
into service, keep at the disposal of the national competent authorities:",article 18,yes,single,"[""base""]",13
what are the obligations of importers vs distributers vs deployers?,"Importer = ""Check before bringing it into the EU"" . Distributor = ""Check before selling""Deployer = ""Use the AI responsibly""","article 23, article24, article 26, article 50",yes,multi-hop,"[""base""]",14
which section talks about notifying everyone along with the procedure?,"Section 4, article 30","Section 4, article 30",yes,single,"[""base""]",15
for how long should certificates for high risk systems  be valid?,"Certificates shall be valid for the period they indicate, which shall not exceed five years for AI systems covered by 
Annex I, and four years for AI systems covered by Annex III",Article 44,yes,multi-hop,"[""base""]",16
what is a general purpose AI Model?,"	Systemic Risk Applies to General-Purpose AI (GPAI) models; in particular the generality and the capability to competently perform a wide range of distinct task","article 3, recital 97",yes,single,"[""base""]",17
what are AI sandboxes?,"‘AI regulatory sandbox’ means a controlled framework set up by a competent authority which offers providers or 
prospective providers of AI systems the possibility to develop, train, validate and test, where appropriate in real-world",Article 57,yes,multi-hop,"[""base""]",18
by when should AI sandboxesby member states be operational?,by 2 August 2026.,article 57,yes,single,"[""base""]",19
what data must be listed in the EU database for high-risk systems?,,"article 71, Annex 8",yes,multi-hop,"[""base""]",20
what penalties do deployers of AI systems that targets the minorities in EU face?,"hall be subject to administrative 
fines of up to EUR 35 000 000 or, if the offender is an undertaking, up to 7 % of its total worldwide annual turnover for the 
preceding financial year, whichever is higher ; .
Non-compliance with any of the following provisions related to operators or notified bodies, other than those laid 
down in Articles 5, shall be subject to administrative fines of up to EUR 15 000 000 or, if the offender is an undertaking, up 
to 3 % of its total worldwide annual turnover for the preceding financial year, whichever is higher:","article 99, article 5",yes,multi-hop,"[""base""]",21
what fines do providers of general purpose AI models face?,"The Commission may impose on providers of general-purpose AI models fines not exceeding 3 % of their annual total 
worldwide turnover in the preceding financial year or EUR 15 000 000, whichever is higher.",article 101,yes,single,"[""base""]",22
